アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10008751,"抽選 (当選未確定)",2020000646,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003425)"
10008751,"抽選 (当選未確定)",2020000646,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020003425)"
10008751,"抽選 (落選)",2020000647,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020000647,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020003965,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020003965,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020003966,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020003966,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002205,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002205,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (当選未確定)",2020002206,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004079)"
10008751,"抽選 (当選未確定)",2020002206,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004079)"
10008751,"抽選 (落選)",2020002207,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002207,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002208,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002208,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002177,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002178,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002178,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002179,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (落選)",2020002179,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008751,"抽選 (当選未確定)",2020002180,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004107)"
10008751,"抽選 (当選未確定)",2020002180,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004107)"
アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10008769,"抽選 (落選)",2020000634,"2021年3月7日 12:30～14:30",岐阜ファミリーパークテニスコート,第２コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000635,"2021年3月7日 14:30～16:30",岐阜ファミリーパークテニスコート,第１コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000635,"2021年3月7日 14:30～16:30",岐阜ファミリーパークテニスコート,第２コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000648,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000648,"2021年3月13日 12:30～14:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000649,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020000649,"2021年3月13日 14:30～16:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020003967,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020003967,"2021年3月21日 12:30～14:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020003968,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第６コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020003968,"2021年3月21日 14:30～16:30",木ノ下テニスコート,第７コート（人工芝）,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002209,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002209,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002210,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002210,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002211,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002211,"2021年3月21日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002212,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002212,"2021年3月21日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002181,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002182,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002182,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (当選未確定)",2020002183,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004106)"
10008769,"抽選 (当選未確定)",2020002183,"2021年3月28日 12:30～14:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  ",,," ",,,,"2021年2月1日 (2020004106)"
10008769,"抽選 (落選)",2020002184,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｃ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
10008769,"抽選 (落選)",2020002184,"2021年3月28日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年2月1日 ----------"
アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
