アカウント名,"区分 (状態)","予約申請番号 抽選申請番号","利用日 利用時間",会館名称,施設名称,"設備 予約","減免 申請",支払,"許可書 出力","一括 取消",取消,"一部 取消","追加抽選 申込","利用 確定",許可,"抽選日 (予約申請番号)"
10008771,"抽選 (落選)",2020002325,"2021年4月17日 14:30～16:30",境川緑道公園テニスコート,Ｄ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002326,"2021年4月18日 12:30～14:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002326,"2021年4月18日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002327,"2021年4月18日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002327,"2021年4月18日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002328,"2021年4月24日 12:30～14:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002329,"2021年4月24日 14:30～16:30",境川緑道公園テニスコート,Ａ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020002329,"2021年4月24日 14:30～16:30",境川緑道公園テニスコート,Ｂ面,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (当選未確定)",2020000667,"2021年4月24日 12:30～14:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020003832)"
10008771,"抽選 (当選未確定)",2020000667,"2021年4月24日 12:30～14:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  ",,," ",,,,"2021年3月1日 (2020003832)"
10008771,"抽選 (落選)",2020000668,"2021年4月24日 14:30～16:30",岐阜ファミリーパークテニスコート,第３コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
10008771,"抽選 (落選)",2020000668,"2021年4月24日 14:30～16:30",岐阜ファミリーパークテニスコート,第４コート,"  ","  ","  ","  ","  "," "," "," ",,"  ",,"2021年3月1日 ----------"
